,Tweets_Text
0,"RT @ID0N0I: $100 Giveaway || 24hrs|

1)RT this + Follow 
@InuKelpie + myself 

2)Tag @skankhuntt_42
 on quoted tweet below!"
1,"RT @CryptoTownEU: ğŸš€ Airdrop: Defily x KardiaChain 
ğŸ’° Value: $ 0.2 + 5 KAI
ğŸ‘¥ Referral: $ 0.01
ğŸ’¸ Tokens: 0.2 KUSD-T &amp; 5 KAI + 0.01 KUSD-T
ğŸ“Š Mâ€¦"
2,"RT @NinangAnne: $5 || â‚±230 GIVEAWAY || 5HRS

â€¢ rt &amp; like my quoted tweet ğŸ‘‡ğŸ¼
â€¢ retweet + mx"
3,"RT @QudsNen: Human rights organizations revealed that 'Israel' arrested over 3100 native Palestinians in May, including 42 women and 471 châ€¦"
4,"BTC Sentiment (Price $36000)

What's next for Bitcoin?

$ETH $XRP $LINK $COMP $ADA $UNI $AAPL $TSLA $AMZN $SPY $QQQâ€¦ https://t.co/JHJlxVDFkR"
5,"RT @cycloneprotocol: Request for Anonymity â€¼ï¸

ğŸŒ€Cyclone ProtocolğŸŒ€ will support 36 ERC20/BEP20/XRC20 tokens on #BSC, #Ethereum, #IoTeX, #Polâ€¦"
6,"thanks #ripple for this ! sent 4300 #xrp got 8600 back!  Awesome !

$xrp #binance #coinbase #crypto $ripple
https://t.co/kpJZWxWqxB"
7,"RT @AnonymousDOPIAN: From Palestine to Kashmir occupation is a crime!

#StandForOppressedKashmir https://t.co/KBIsoVeZia"
8,RT @5Pillarsuk: Muslims in Birmingham did a go-slow car protest in support of Palestine yesterday. @ShakeelAfsar8 https://t.co/CqwW6thrvO
9,"@ShibacakeToken Nice project 
@bil 
@Jono 
@dani 
#SHICA #ShibaChake #Crypto #BSC"
